Time [s],Channel 2
0.842848000,1
0.842920000,0
0.842928000,1
0.843000000,0
0.843010000,1
0.843040000,0
0.843050000,1
0.843080000,0
0.843088000,1
0.843116000,0
0.843124000,1
0.843160000,0
0.843170000,1
0.843490000,0
0.843498000,1
0.843658000,0
0.843668000,1
0.843698000,0
0.843706000,1
0.843778000,0
0.843788000,1
0.843860000,0
0.843870000,1
0.843942000,0
0.843952000,1
0.843982000,0
0.843990000,1
0.844024000,0
0.844032000,1
0.844060000,0
0.844068000,1
0.844110000,0
0.844120000,1
0.844454000,0
0.844464000,1
0.844624000,0
0.844632000,1
0.844662000,0
0.844672000,1
0.844744000,0
0.844754000,1
0.844826000,0
0.844834000,1
0.844908000,0
0.844916000,1
0.844946000,0
0.844956000,1
0.844992000,0
0.845000000,1
0.845028000,0
0.845036000,1
0.845084000,0
0.845094000,1
0.845420000,0
0.845428000,1
0.845588000,0
0.845598000,1
0.845652000,0
0.845662000,1
0.845734000,0
0.845742000,1
0.845814000,0
0.845824000,1
0.845896000,0
0.845906000,1
0.845936000,0
0.845944000,1
0.845984000,0
0.845992000,1
0.846020000,0
0.846030000,1
0.846084000,0
0.846092000,1
0.846384000,0
0.846394000,1
0.846554000,0
0.846562000,1
0.846594000,0
0.846602000,1
0.846674000,0
0.846684000,1
0.846756000,0
0.846766000,1
0.846838000,0
0.846846000,1
0.846876000,0
0.846886000,1
0.846928000,0
0.846938000,1
0.846964000,0
0.846974000,1
0.847034000,0
0.847042000,1
0.847350000,0
0.847360000,1
0.847520000,0
0.847528000,1
0.847582000,0
0.847592000,1
0.847664000,0
0.847674000,1
0.847744000,0
0.847754000,1
0.847826000,0
0.847836000,1
0.847866000,0
0.847876000,1
0.847920000,0
0.847930000,1
0.847956000,0
0.847966000,1
0.848032000,0
0.848042000,1
0.848314000,0
0.848324000,1
0.848484000,0
0.848494000,1
0.848548000,0
0.848556000,1
0.848628000,0
0.848638000,1
0.848710000,0
0.848720000,1
0.848792000,0
0.848802000,1
0.848832000,0
0.848840000,1
0.848888000,0
0.848898000,1
0.848924000,0
0.848934000,1
0.849006000,0
0.849016000,1
0.849280000,0
0.849290000,1
0.849450000,0
0.849458000,1
0.849488000,0
0.849498000,1
0.849570000,0
0.849580000,1
0.849652000,0
0.849660000,1
0.849732000,0
0.849742000,1
0.849772000,0
0.849782000,1
0.849832000,0
0.849842000,1
0.849868000,0
0.849878000,1
0.849940000,0
0.849950000,1
0.850246000,0
0.850254000,1
0.850414000,0
0.850424000,1
0.850478000,0
0.850488000,1
0.850560000,0
0.850568000,1
0.850640000,0
0.850650000,1
0.850722000,0
0.850732000,1
0.850762000,0
0.850770000,1
0.850824000,0
0.850834000,1
0.850860000,0
0.850870000,1
0.850940000,0
0.850948000,1
0.851210000,0
0.851220000,1
0.851380000,0
0.851388000,1
0.851456000,0
0.851464000,1
0.851536000,0
0.851546000,1
0.851618000,0
0.851628000,1
0.851700000,0
0.851708000,1
0.851738000,0
0.851748000,1
0.851804000,0
0.851814000,1
0.851842000,0
0.851850000,1
0.851902000,0
0.851910000,1
0.852176000,0
0.852184000,1
0.852344000,0
0.852354000,1
0.852420000,0
0.852430000,1
0.852502000,0
0.852512000,1
0.852582000,0
0.852592000,1
0.852664000,0
0.852674000,1
0.852704000,0
0.852714000,1
0.852774000,0
0.852782000,1
0.852810000,0
0.852818000,1
0.852876000,0
0.852884000,1
0.853142000,0
0.853150000,1
0.853310000,0
0.853320000,1
0.853386000,0
0.853394000,1
0.853468000,0
0.853476000,1
0.853548000,0
0.853558000,1
0.853630000,0
0.853640000,1
0.853670000,0
0.853678000,1
0.853742000,0
0.853750000,1
0.853778000,0
0.853788000,1
0.853826000,0
0.853836000,1
0.854106000,0
0.854116000,1
0.854276000,0
0.854284000,1
0.854338000,0
0.854348000,1
0.854420000,0
0.854430000,1
0.854502000,0
0.854512000,1
0.854584000,0
0.854592000,1
0.854622000,0
